IDENT;LIBELLE;VEHICULE;VOIRIE;INSEE
B_LEY20_R;Croix de Leysotte;BUS;CHAUSSEE;33039
B_LEO21_R;Collège Pont de la Maye;BUS;CHAUSSEE;33550
T_ROBINS_R;Freres Robinson;TRAM;QUAI;33281
T_BELROS_R;La Belle Rose;TRAM;QUAI;33039
B_LAT09_A;Latule;BUS;CHAUSSEE_ACCESS;33063
B_RAL51_A;Roger Allo;BUS;CHAUSSEE;33063
B_MCA40_R;Mac Carthy;BUS;CHAUSSEE;33281
B_GEL71_R;Gelès;BUS;CHAUSSEE;33449
B_CHA03_A;Chantiers de la Garonne;BUS;CHAUSSEE_ACCESS;33063
B_AUS27_A;Avenue Ausone;BUS;CHAUSSEE;33069
B_NAN23_R;Caserne Nansouty;BUS;CHAUSSEE;33063
B_DO223_R;Le Dorat 2;BUS;CHAUSSEE;33039
B_RIV08_A;Rives;BUS;HS_INTEGRAL;33063
B_HLI46_R;Haut Livrac;BUS;CHAUSSEE;33318
B_MUR16_A;Murat;BUS;CHAUSSEE;33063
B_GPAR9_A;Grand Parc;BUS;CHAUSSEE_ACCESS;33063
B_DOM63_A;Domaine du Gay;BUS;CHAUSSEE_ACCESS;33013
B_XAIN9_A;Xaintrailles;BUS;CHAUSSEE_ACCESS;33063
B_LGR42_A;Lycée des Graves;BUS;CHAUSSEE_ACCESS;33192
B_PER16_A;Périnot;BUS;CHAUSSEE;33063
B_AUR16_R;Auriac;BUS;CHAUSSEE;33063
B_MON92_R;Mondion;BUS;CHAUSSEE_ACCESS;33487
B_DOM63_R;Domaine du Gay;BUS;CHAUSSEE_ACCESS;33013
B_PRE54_R;Pressensé;BUS;CHAUSSEE;33063
B_LAF22_R;Lafontaine;BUS;CHAUSSEE;33063
B_GUY08_A;Guyon;BUS;CHAUSSEE;33119
B_RPA76_A;R.P.A La Bérengère;BUS;CHAUSSEE;33069
B_CHR11;Hôpital Pellegrin (entrée Est);BUS;VOIE_PROTEGEE;33063
B_FOR52_A;La Forêt;BUS;CHAUSSEE;33162
B_PWI50_A;Président Wilson;BUS;CHAUSSEE;33281
B_ERA47_R;Les Erables;BUS;CHAUSSEE;33318
B_LEC54_R;Parc Bordelais;BUS;CHAUSSEE;33063
B_VAI83_A;Réservoir Lavardens;BUS;CHAUSSEE;33522
B_PLA58_A;Anita Conti;BUS;CHAUSSEE;33056
B_BEA22_R;Beautiran;BUS;HS_SEMI_INTEGRE;33063
B_MOC71_R;Moulin de Caupian;BUS;CHAUSSEE_ACCESS;33449
B_DUP06_A;Dupas;BUS;CHAUSSEE;33063
B_EDV06_R;Nougueys;BUS;CHAUSSEE_ACCESS;33167
B_VER13_R;Verte;BUS;CHAUSSEE_ACCESS;33063
B_PJU13_A;Piscine Judaïque;BUS;CHAUSSEE;33063
B_CAM62_R;Camparian;BUS;CHAUSSEE;33119
B_BEA22_A;Beautiran;BUS;HS_SEMI_INTEGRE;33063
B_FLE36_A;Gare de Bruges;BUS;CHAUSSEE;33075
B_MAN27_A;Mandron;BUS;CHAUSSEE;33063
B_TRI55_A;Tristan;BUS;CHAUSSEE;33449
B_HLI46_A;Haut Livrac;BUS;CHAUSSEE_ACCESS;33318
B_14J45_A;14 Juillet;BUS;CHAUSSEE;33063
B_REP48_A;République;BUS;CHAUSSEE;33063
B_GOI50_R;Goillot;BUS;CHAUSSEE;33281
B_BIB12_R;Bibliothèque;BUS;HS_ACCES;33063
B_BEL53_R;Belfort;BUS;CHAUSSEE;33449
B_LAN80_R;Langevin;BUS;HS_INTEGRAL;33318
B_PCO31_A;Palais des Congrès;BUS;CHAUSSEE_ACCESS;33063
B_SOC47_A;Socrate;BUS;CHAUSSEE;33318
B_HAM58_A;Hameau du Château;BUS;CHAUSSEE;33312
B_MAG47_R;Magonty;BUS;CHAUSSEE;33318
B_BLE51_R;Bleuets;BUS;CHAUSSEE;33063
B_BOU16_R;Bourse du Travail;BUS;CHAUSSEE;33063
B_4SA67_A;Les 4 Saisons;BUS;CHAUSSEE;33013
B_MAD91_R;Madran;BUS;CHAUSSEE;33434
B_FOR51_R;Libération;BUS;CHAUSSEE;33281
B_BOU32_A;Bourbon;BUS;CHAUSSEE;33167
B_CGA08_R;Cours Gambetta;BUS;CHAUSSEE;33119
B_JON63_R;Jonquilles;BUS;CHAUSSEE;33013
B_FEN90_R;Fénelon;BUS;HS_INTEGRAL;33032
B_CAM92_A;La Campanie;BUS;CHAUSSEE_ACCESS;33003
B_RUN62_A;Rue de l'Union;BUS;CHAUSSEE;33119
B_BOE37_A;La Boétie;BUS;CHAUSSEE;33519
B_OAU49_A;Oscar Auriac;BUS;CHAUSSEE_ACCESS;33281
B_LUZ24_A;Luze;BUS;CHAUSSEE;33063
B_JUL53_A;Julien;BUS;HS_INTEGRAL;33449
B_ROC42_R;Rochefort;BUS;HS_INTEGRAL;33192
B_PCA04_A;Picard;BUS;CHAUSSEE_ACCESS;33063
B_DES64_R;Desclaux;BUS;CHAUSSEE_ACCESS;33013
B_BRI57_R;Brion;BUS;CHAUSSEE;33075
B_ZOL95_A;Emile Zola;BUS;CHAUSSEE;33096
B_DEV16_A;Deveaux;BUS;CHAUSSEE_ACCESS;33063
B_LMA93_A;Lamartine;BUS;CHAUSSEE;33096
B_8MA37_A;8 Mai;BUS;CHAUSSEE;33056
B_STLOUI;St Louis;BUS;CHAUSSEE_ACCESS;33063
B_CAM21_A;Camparian;BUS;CHAUSSEE;33550
B_CRE58_R;Crébadin;BUS;CHAUSSEE;33312
B_COS53_A;COSEC;BUS;CHAUSSEE;33449
B_MAZ82_R;Mazeau;BUS;CHAUSSEE;33449
B_TRO55_A;Terre Rouge;BUS;CHAUSSEE;33519
B_RGA73_A;Roland Garros;BUS;CHAUSSEE;33281
B_GAS52_R;Gasquet;BUS;CHAUSSEE;33200
B_AMP09_A;Ampère;BUS;CHAUSSEE;33063
B_MAR57_A;Gare de Bruges;BUS;CHAUSSEE_ACCESS;33075
B_LIB23_R;Liberté;BUS;CHAUSSEE;33039
B_BEA46_R;Beauséjour;BUS;HS_INTEGRAL;33318
B_JON63_A;Jonquilles;BUS;CHAUSSEE;33013
B_PIC84_R;Picardie;BUS;CHAUSSEE;33318
B_TIL20_A;Tillet;BUS;HS_SEMI_INTEGRE;33063
B_BAL91_A;Ballet;BUS;HS_INTEGRAL;33434
B_MON44_A;Monge;BUS;CHAUSSEE;HORS_BM
B_PCA72_A;Frères Robinson;BUS;CHAUSSEE;33281
B_STM72_A;Olympiades;BUS;CHAUSSEE;33281
B_PRA75_A;Pradas;BUS;CHAUSSEE;33281
B_GAL50_A;Le Galus;BUS;CHAUSSEE;33281
B_CGR37_A;Cante-Gric;BUS;CHAUSSEE;33519
B_8MA05_A;8 Mai 1945;BUS;CHAUSSEE_ACCESS;33119
B_FON55_A;Cantinolle;BUS;CHAUSSEE_ACCESS;33162
B_VCU8_A;Vieille Cure;BUS;HS_INTEGRAL;33119
B_LAN47_R;Landiras;BUS;CHAUSSEE;33063
B_MAR91_A;Le Marquis;BUS;CHAUSSEE;33004
B_JOU91_A;Jourdane;BUS;CHAUSSEE;33434
B_PCI36_R;Plein Ciel;BUS;CHAUSSEE;33281
B_MOU37_A;Jean Moulin;BUS;CHAUSSEE;33056
B_KYR22_A;Kyrié;BUS;CHAUSSEE;33063
B_RUN62_R;Rue de l'Union;BUS;CHAUSSEE;33119
B_RLA53_A;Route de Lacanau;BUS;CHAUSSEE;33449
B_COC66_A;Jean Cocteau;BUS;CHAUSSEE;33249
B_LAN93_A;La Lande;BUS;CHAUSSEE;33096
B_CAS50_A;Castelneau;BUS;CHAUSSEE;33281
B_GEN91_R;St Exupéry;BUS;CHAUSSEE;33004
B_AIG52_R;L'Aiglon;BUS;CHAUSSEE;33200
B_DUF91_R;Dufresne;BUS;CHAUSSEE;33004
B_PRO82_R;Proust;BUS;CHAUSSEE;33449
B_ALO46_A;France Alouette;BUS;HS_INTEGRAL;33318
B_MOL37_R;Molière;BUS;CHAUSSEE;33519
B_NAU10_A;Naujac;BUS;CHAUSSEE;33063
B_PAP23_A;Pape Clément (Place Sellier);BUS;CHAUSSEE;33318
