IDENT;LIBELLE;VEHICULE;VOIRIE;INSEE
B_FOR20_A;Forum;BUS;CHAUSSEE;33522
B_PHA38_A;Phare;BUS;CHAUSSEE;33281
B_VHUG43;Victor Hugo;BUS;CHAUSSEE;33039
B_GCA56_A;Le Grand Caillou;BUS;CHAUSSEE_ACCESS;33162
B_TBEA16;Mérignac Centre (René Coty);BUS;HS_INTEGRAL;33281
B_POL26_A;Hôtel de Police;BUS;CHAUSSEE;33063
B_CAN80_A;Avenue de Canéjan;BUS;CHAUSSEE;33318
B_JAC10_R;La Jacquotte;BUS;CHAUSSEE;33167
B_FIN66_A;Fingues;BUS;CHAUSSEE;33249
B_ERMI66;Ermitage;BUS;HS_INTEGRAL;33069
B_LAM34_R;Lamartine;BUS;CHAUSSEE;33318
B_SEV40_A;Sévène;BUS;CHAUSSEE;33522
B_PAC34_R;Pacaris;BUS;CHAUSSEE;33522
B_DOR26T;Le Dorat;BUS;CHAUSSEE;33039
B_VGO06_R;Van Gogh;BUS;CHAUSSEE;33075
B_ABR66_A;Lormont Bas (A. Briand);BUS;CHAUSSEE;33249
B_TFOR38;Terrefort;BUS;CHAUSSEE;33065
B_BGA76_R;Berges de la Garonne;BUS;VOIE_PROTEGEE;33063
B_PIM66_R;Camarde;BUS;CHAUSSEE;33249
B_PIM66_A;Camarde;BUS;CHAUSSEE;33249
B_GOU43_A;Gounod;BUS;CHAUSSEE;33039
B_LON41_A;Longchamps;BUS;CHAUSSEE;33063
B_LAT28_A;Latule;BUS;CHAUSSEE;33063
B_SLE58_R;Solesse;BUS;CHAUSSEE;33056
B_LAC91_R;Lachenal;BUS;CHAUSSEE;33004
B_DES46_R;Desmaison;BUS;HS_INTEGRAL;33069
B_LAM34_A;Lamartine;BUS;CHAUSSEE;33318
B_ALS21_R;Alsace-Lorraine;BUS;CHAUSSEE;33550
B_INR34_R;INRA;BUS;CHAUSSEE;33550
B_RGR52_R;Rue des Graves;BUS;CHAUSSEE;33162
B_ZFRE73;Zone de Fret;BUS;HS_INTEGRAL;33075
B_GIL77_A;Gilamon;BUS;CHAUSSEE;33056
B_GRA02_R;Les Gravières;BUS;CHAUSSEE;33550
B_AVS52_A;Avenue St Médard;BUS;CHAUSSEE;33200
B_EBE43_R;Eglise de Bègles;BUS;CHAUSSEE;33039
B_BLA52_R;Picot;BUS;CHAUSSEE;33162
B_CIM02_A;Cimetière de Bègles;BUS;CHAUSSEE;33039
B_JAL14_A;Jallère;BUS;CHAUSSEE;33063
B_LAN56_A;Landille;BUS;CHAUSSEE;33056
B_SVP74_A;Saint Vincent de Paul;BUS;CHAUSSEE;33487
B_BARR75;Barrès;BUS;HS_INTEGRAL;33063
B_JAU93_A;Jaugues;BUS;CHAUSSEE;33003
B_VHU90_R;Victor Hugo;BUS;CHAUSSEE;33032
B_VERL6_R;Verlaine;BUS;CHAUSSEE;33075
B_BVE02_A;Brienne Vernet;BUS;CHAUSSEE;33063
B_CHB34_A;Chiquet Brion;BUS;CHAUSSEE;33318
B_BAO38_A;Libre Service de Gros;BUS;CHAUSSEE;33063
B_MAH47_R;Mahéla;BUS;CHAUSSEE;33063
B_GDE03_A;Gabriel Delaunay;BUS;VOIE_PROTEGEE;33063
B_ACH75_R;Rue Achard;BUS;CHAUSSEE_ACCESS;33063
B_BON20_A;Bontemps;BUS;CHAUSSEE;33522
B_MON37_R;Montesquieu;BUS;CHAUSSEE;33056
B_BOU80_A;Le Bourgailh;BUS;CHAUSSEE;33318
B_GOD57_R;Godard;BUS;CHAUSSEE;33063
B_TOU34_A;Route de Toulouse;BUS;CHAUSSEE;33039
B_LAG52_A;Le Lagunet;BUS;CHAUSSEE;33162
B_MOZ52_R;Mermoz;BUS;CHAUSSEE;33200
B_PLA23_A;Salle Georges Méliès;BUS;CHAUSSEE;33039
B_BER16_R;Bertheau;BUS;CHAUSSEE;33281
B_MVE72_R;Moulin à Vent;BUS;CHAUSSEE;33162
B_GNO48_R;Grange Noire (Ateliers Municipaux);BUS;HS_INTEGRAL;33281
B_GFA57_A;Gabriel Fauré;BUS;CHAUSSEE;33075
B_TAS42_A;Tassigny;BUS;CHAUSSEE;33281
B_COH47_A;Nancel Pénard;BUS;CHAUSSEE;33318
B_CHILE;Chemin de l'Ile;BUS;CHAUSSEE;33065
B_HONNE;Honneur;BUS;PONTON;33063
B_TCPI50;Cité des Pins;BUS;HS_INTEGRAL;33281
B_VGO06_A;Van Gogh;BUS;CHAUSSEE;33075
B_PEC81_A;Pessac Compostelle;BUS;HS_INTEGRAL;33318
B_MAH47_A;Mahéla;BUS;CHAUSSEE;33063
B_PSP52_R;Plaine des Sports;BUS;CHAUSSEE;33162
B_GAL20_A;Galgon;BUS;CHAUSSEE;33550
B_BGO46_R;Grand Parc;BUS;CHAUSSEE;33063
B_FLA48_R;Flammarion;BUS;CHAUSSEE;33281
B_CEY79_R;Cimetière d'Eysines;BUS;CHAUSSEE;33162
B_PRE76_A;Préceinte;BUS;CHAUSSEE;33069
B_RAVE33;Ravezies;BUS;AUTRE;33063
B_LAN24_A;Langevin;BUS;CHAUSSEE;33318
B_CHADEY_A;Machadey;BUS;CHAUSSEE;33519
B_HLIVR_A;Haut Livrac;BUS;TERMINUS;33318
B_GAU82_R;Gautier;BUS;CHAUSSEE;33449
B_PCA51_R;Poste de Caudéran;BUS;HS_INTEGRAL;33063
B_MER93_R;Merlet;BUS;CHAUSSEE;33003
B_GAL36_R;Galgon;BUS;CHAUSSEE_ACCESS;33550
B_MIC13_A;Gambetta (Michelet);BUS;CHAUSSEE;33063
B_TQFR31;Quai Français;BUS;HS_INTEGRAL;33032
B_CJJ32_R;Collège Jean Jaurès;BUS;CHAUSSEE;33119
B_MDO34_A;Dorgelès;BUS;HS_INTEGRAL;33281
B_ALB43_A;St Albe;BUS;CHAUSSEE;33192
B_MEG42_A;Mégevie;BUS;CHAUSSEE;33192
B_QBR11_A;Quai de Brienne;BUS;CHAUSSEE;33063
B_TRE02_A;Rue de Tresses;BUS;CHAUSSEE;33063
B_MEYSI;Mairie d'Eysines;BUS;CHAUSSEE;33162
B_DAGU36;Lycée Daguin;BUS;HS_INTEGRAL;33281
B_BUTT62;Buttinière;BUS;TERMINUS;33249
B_TON13_A;Tondu;BUS;HS_INTEGRAL;33063
B_GOUR76;Gourribon;BUS;CHAUSSEE;33069
B_CAUP53;Caupian;BUS;HS_INTEGRAL;33449
B_BEN02_A;Rue de la Benauge;BUS;CHAUSSEE;33063
B_CGP15_R;Collège Grand Parc;BUS;CHAUSSEE;33063
B_GRA78_A;Grattecap;BUS;CHAUSSEE;33056
B_FBU02_R;Ferdinand Buisson;BUS;CHAUSSEE_ACCESS;33063
B_VER33_A;Verdun;BUS;CHAUSSEE;33281
B_LEY02_R;Clos de Leyran;BUS;CHAUSSEE;33550
B_JVE43_A;Jules Verne;BUS;CHAUSSEE;33039
B_VIO52_A;Violettes;BUS;CHAUSSEE;33162
B_BRU57_R;Bruges Hôtel de Ville;BUS;TERMINUS;33075
B_LAVI3_R;Lavigne;BUS;CHAUSSEE;33063
B_STD73_A;Stade Daugère;BUS;CHAUSSEE;33075
B_BON93_R;Bonnet;BUS;CHAUSSEE;33004
B_GAM35_R;Avenue Gambetta;BUS;CHAUSSEE;33281
B_TRI36_A;Stade Trigan;BUS;CHAUSSEE;33550
B_GAM13_A;Gambetta;BUS;CHAUSSEE;33063
B_ARA18_A;Arago;BUS;CHAUSSEE;33318
B_COB01_R;Collège Blanqui;BUS;CHAUSSEE_ACCESS;33063
B_BOU42_A;Bourranville;BUS;CHAUSSEE;33281
B_MVI76B;R.P.A Mieux Vivre;BUS;CHAUSSEE;33069
B_LOR77_A;Lorraine;BUS;CHAUSSEE;33056
B_ARN80_A;Hôpital Xavier Arnozan;BUS;CHAUSSEE;33318
B_SJE02_A;Gare St Jean;BUS;CHAUSSEE;33063
B_BAN03_R;Banlin;BUS;CHAUSSEE_ACCESS;33063
B_VERL6_A;Verlaine;BUS;CHAUSSEE;33075
B_TOU53_A;Pas de la Tourte;BUS;CHAUSSEE;33376
B_FIN66_R;Fingues;BUS;CHAUSSEE;33249
B_SAL43_R;Ecole Salengro;BUS;CHAUSSEE_ACCESS;33039
B_LUZE15;Luze;BUS;CHAUSSEE;33063
B_FRL56_R;Frères Lumière;BUS;CHAUSSEE;33162
B_MARA38;Le Marais;BUS;CHAUSSEE;33065
B_PAL62_A;Palombes;BUS;CHAUSSEE;33249
B_EAU13_A;Gambetta Mériadeck;BUS;CHAUSSEE;33063
B_DAS36_R;Dassault;BUS;CHAUSSEE;33318
B_POR78_R;Portugal;BUS;CHAUSSEE;33056
B_MON32_R;Montaigne;BUS;CHAUSSEE;33249
B_CFRANC;César Franck;BUS;HS_INTEGRAL;33039
B_MON42_A;Montesquieu;BUS;CHAUSSEE;33281
B_PROV46;Provinces;BUS;HS_INTEGRAL;33318
B_BRA82_A;Braque;BUS;CHAUSSEE;33449
B_PMA58_R;Place Maran;BUS;CHAUSSEE;33063
B_BIB36_A;Bibliothèque;BUS;CHAUSSEE;33039
B_NIE03_R;Maréchal Niel;BUS;HS_INTEGRAL;33063
B_GME34_R;Lycée Vaclav Havel;BUS;CHAUSSEE;33550
B_BLU93_R;Léon Blum;BUS;CHAUSSEE;33003
B_RPU37_R;République;BUS;CHAUSSEE;33449
B_CUR45_R;Cursol;BUS;CHAUSSEE;33063
B_COB82_R;Corbiac;BUS;CHAUSSEE;33449
B_POU46_R;Poudrière;BUS;CHAUSSEE_ACCESS;33318
B_PAP23_R;Pape Clément (Place Sellier);BUS;CHAUSSEE;33318
B_ORI47_R;Pont de l'Orient;BUS;CHAUSSEE;33318
B_BOU45_A;Caserne Boudet;BUS;CHAUSSEE;33063
B_CHP08_A;Charles Perrens;BUS;VOIE_PROTEGEE_ACCESS;33063
B_EJC47_A;Ecole Jean Cordier;BUS;CHAUSSEE;33318
B_ORI47_A;Pont de l'Orient;BUS;CHAUSSEE;33318
B_BEL44_R;Bellevue;BUS;CHAUSSEE;33318
B_XAR46_R;Xavier Arnozan;BUS;CHAUSSEE;33318
B_GRA45_R;Grangeneuve;BUS;CHAUSSEE;33318
B_CHA45_A;Antoune;BUS;CHAUSSEE_ACCESS;33318
B_PEG47_A;Charles Péguy;BUS;CHAUSSEE;33318
B_FAN84_A;Fanning Lafontaine;BUS;CHAUSSEE;33318
B_TUL44_A;Les Tulipes;BUS;CHAUSSEE;33318
B_ORE84_A;Orée du Bois;BUS;CHAUSSEE_ACCESS;33318
B_HLV46_R;Boulevard du Haut Livrac;BUS;HS_INTEGRAL;33318
B_BLA46_A;Blayais;BUS;HS_ACCES;33318
B_YVB58_A;Yvan Bric;BUS;CHAUSSEE;33312
B_HLV46_A;Boulevard du Haut Livrac;BUS;CHAUSSEE;33318
B_ARA45_A;Arago (Médiathèque);BUS;CHAUSSEE;33318
B_CEN38_R;Centre Commercial (4 Pavillons);BUS;CHAUSSEE;33249
B_COR84_R;Corneille;BUS;CHAUSSEE;33318
B_FAN84_R;Fanning Lafontaine;BUS;CHAUSSEE;33318
B_MDQ45_A;La Médoquine;BUS;HS_SEMI_INTEGRE;33063
B_BRE46_A;Bretagne;BUS;CHAUSSEE;33318
B_CAPBOS;Cap de Bos;BUS;HS_ACCES;33318
B_SMA48_A;Pessac Gare;BUS;CHAUSSEE;33318
B_EAR42_A;Ecole d'Architecture;BUS;HS_INTEGRAL;33192
B_ALO80_R;France Alouette;BUS;CHAUSSEE_ACCESS;33318
B_MAG80_R;Gare de Pessac Alouette;BUS;CHAUSSEE_ACCESS;33318
B_PAU21_R;Pauge;BUS;CHAUSSEE;33550
B_VBOU02;Villenave Bourg;BUS;CHAUSSEE;33550
B_FIN20_R;Les Finances;BUS;HS_INTEGRAL;33550
B_CALI9_R;Calixte Camelle;BUS;HS_INTEGRAL;33063
B_BEN34_A;Bénédigues;BUS;CHAUSSEE_ACCESS;33522
B_EGH52_R;Le Haillan Centre;BUS;CHAUSSEE;33200
B_MAI36_A;8 Mai 1945;BUS;CHAUSSEE;33162
B_HON55_R;Hontane;BUS;CHAUSSEE;33519
B_DES56_A;Les Ecus;BUS;CHAUSSEE;33069
B_GGA36_R;Général de Gaulle;BUS;CHAUSSEE_ACCESS;33075
B_GGA36_A;Général de Gaulle;BUS;CHAUSSEE_ACCESS;33069
B_ACA52_R;Collège Albert Camus;BUS;CHAUSSEE;33162
B_TABOET;La Boétie;BUS;CHAUSSEE;33519
B_BUR35_A;Le Burck;BUS;CHAUSSEE;33281
B_MSM82_A;Mairie de St Médard;BUS;CHAUSSEE;33449
B_CIM52_R;Cimetière d'Eysines;BUS;CHAUSSEE;33162
B_RPA56_R;Route de Pauillac;BUS;CHAUSSEE;33162
B_CPH56_R;Cap de Haut;BUS;CHAUSSEE;33162
B_FLU56_R;Frères Lumière;BUS;CHAUSSEE_ACCESS;33162
B_MQU56_R;Montesquieu;BUS;CHAUSSEE_ACCESS;33056
B_PFR52_R;Pins-Francs;BUS;HS_INTEGRAL;33063
B_MAI36_R;8 Mai 1945;BUS;CHAUSSEE_ACCESS;33162
B_ANT52_R;Antoune;BUS;CHAUSSEE;33162
B_RRO52_R;Résidence Rostand;BUS;CHAUSSEE;33200
B_MFO08_A;Maréchal Foch;BUS;CHAUSSEE;33119
B_CEZ52_R;Collège Emile Zola;BUS;CHAUSSEE;33200
B_EGH52_A;Le Haillan Centre;BUS;CHAUSSEE;33200
B_PCO31_R;Palais des Congrès;BUS;CHAUSSEE;33063
B_CCO31_R;Centre Commercial du Lac;BUS;CHAUSSEE;33063
B_LAU31_R;Les Aubiers;BUS;CHAUSSEE;33063
B_CIM32_R;Cimetière de Lormont;BUS;CHAUSSEE;33249
B_MFO08_R;Maréchal Foch;BUS;HS_INTEGRAL;33119
B_RST53_A;Rue du Stade;BUS;CHAUSSEE_ACCESS;33200
B_CHE53_R;Herriot (Centre Commercial);BUS;CHAUSSEE_ACCESS;33449
B_CHE53_A;Herriot (Centre Commercial);BUS;CHAUSSEE_ACCESS;33449
B_LMA53_A;Lamartine;BUS;CHAUSSEE_ACCESS;33449
B_CGA82_R;Château Gajac;BUS;CHAUSSEE;33449
B_CGA82_A;Château Gajac;BUS;CHAUSSEE;33449
B_GAD03_A;Gadret;BUS;HS_INTEGRAL;33449
B_MGA82_R;Moulin de Gajac;BUS;CHAUSSEE_ACCESS;33449
B_RCO82_R;Route de Corbiac;BUS;HS_INTEGRAL;33449
B_EGS53_R;Eglise de St Médard;BUS;CHAUSSEE;33449
B_EGS53_A;Eglise de St Médard;BUS;CHAUSSEE;33449
B_CLU53_R;Le Club des Pins;BUS;CHAUSSEE_ACCESS;33449
B_AQU53_R;Espace Aquatique;BUS;CHAUSSEE_ACCESS;33449
B_VIS53_R;Village d'Issac;BUS;HS_INTEGRAL;33449
B_GAD30_R;Gadret;BUS;CHAUSSEE;33449
B_TISS_A;Issac;BUS;HS_INTEGRAL;33449
B_JBO53_A;Joli Bois;BUS;CHAUSSEE;33376
B_RPI53_A;Route de Picot;BUS;CHAUSSEE;33376
B_AUB03_A;St Aubin Cimetière;BUS;CHAUSSEE;33376
B_BIC53_R;Le Bichou;BUS;CHAUSSEE;33376
B_ANO53_R;Allée du Nord;BUS;CHAUSSEE;33376
B_GOU82_A;Goujon;BUS;CHAUSSEE;33449
B_VMA53_R;Village de Magudas;BUS;CHAUSSEE;33449
B_LFI40_A;Lafitte;BUS;CHAUSSEE;33522
B_EYQ35_R;Collège Les Eyquems;BUS;CHAUSSEE_ACCESS;33281
B_RBE75_A;Résidence Beausite;BUS;CHAUSSEE_ACCESS;33281
B_JBL36_A;Jean Blanc;BUS;CHAUSSEE;33281
B_JBL36_R;Jean Blanc;BUS;CHAUSSEE;33281
B_LFI40_R;Lafitte;BUS;CHAUSSEE_ACCESS;33522
B_DAG11_R;Daguin;BUS;HS_INTEGRAL;33063
B_BBE11_A;Barrière de Bègles;BUS;HS_INTEGRAL;33063
B_CAR35_A;Cardinal;BUS;CHAUSSEE_ACCESS;33318
B_SOC80_R;Socrate;BUS;CHAUSSEE;33318
B_MRT51_A;Martin;BUS;CHAUSSEE;33281
B_BAR51_A;Barbusse;BUS;TERMINUS;33281
B_STR51_A;Strélitzias;BUS;CHAUSSEE;33281
B_DAU51_R;Dauphine;BUS;CHAUSSEE_ACCESS;33063
B_CGO15_R;Camille Godard;BUS;CHAUSSEE;33063
B_SEG10_A;Ségur;BUS;CHAUSSEE;33063
B_LAF22_A;Lafontaine;BUS;HS_SEMI_INTEGRE;33063
B_DUH22_R;Duhamel;BUS;CHAUSSEE;33039
B_DO323_A;Gare de Bègles;BUS;CHAUSSEE_ACCESS;33039
B_MRE23_R;Martyrs de la Résistance;BUS;CHAUSSEE;33039
B_CRO23_R;Stade Musard;BUS;CHAUSSEE_ACCESS;33039
B_DO223_A;Le Dorat 2;BUS;CHAUSSEE;33039
B_KOS23_A;Parc de Mussonville;BUS;CHAUSSEE_ACCESS;33039
B_CAP23_R;Capucins;BUS;CHAUSSEE;33063
B_AGA48_A;Avenue Gambetta;BUS;CHAUSSEE;33281
B_CSZ83_A;Chemin de Suzon;BUS;HS_INTEGRAL;33522
B_MAU80_R;Collège A. Mauguin;BUS;CHAUSSEE;33192
B_BAR80_A;Barthès;BUS;CHAUSSEE;33192
B_BRU80_R;Les Brunelles;BUS;CHAUSSEE;33192
B_DRO34_R;Facultés Droit et Lettres;BUS;HS_INTEGRAL;33318
B_STS92_R;St Sever;BUS;CHAUSSEE;33003
B_DEH77_R;Frankton;BUS;CHAUSSEE;33056
B_PRE10_A;Préfecture;BUS;CHAUSSEE;33063
B_TGARE;Gare Routière;BUS;VOIE_PROTEGEE;33449
B_ZAH80_R;Z.A Haut-Vigneau;BUS;CHAUSSEE;33192
B_CLA36_A;Claudeville;BUS;CHAUSSEE;33075
B_MBR02_R;Marché de Brienne;BUS;CHAUSSEE;33063
B_COU91_A;Docteur Couaillac;BUS;CHAUSSEE;33004
B_VAN95_A;Vignau Anglade (Clos Favol);BUS;CHAUSSEE;33096
B_CRO72_R;Croustet;BUS;CHAUSSEE;33281
B_GLO36_A;Le Grand Louis;BUS;CHAUSSEE;33162
B_MHA52_R;Mairie du Haillan;BUS;CHAUSSEE_ACCESS;33200
B_JCB92_R;Bourdieu;BUS;CHAUSSEE;33096
B_ECO82_R;Corbiac;BUS;CHAUSSEE_ACCESS;33449
B_LAB76_R;Labarde;BUS;HS_INTEGRAL;33063
B_TOCTO;Toctoucau;BUS;CHAUSSEE;33318
B_TCHA05;Piscine Chambéry;BUS;HS_INTEGRAL;33550
B_GBE22_A;Gare de Bègles;BUS;CHAUSSEE;33039
B_LAG78_R;Lycée Agricole;BUS;CHAUSSEE;33056
B_BRE78_A;Stade Breillan;BUS;CHAUSSEE;33056
B_LYC58_A;Lycée du Bâtiment;BUS;CHAUSSEE;33056
B_LYC58_R;Lycée du Bâtiment;BUS;CHAUSSEE;33056
B_FLA46_R;Flandres;BUS;CHAUSSEE;33318
B_CAN46_R;Canaris;BUS;CHAUSSEE;33318
B_EUR43_R;Eurofac;BUS;CHAUSSEE_ACCESS;33192
B_ARI06_R;Aristide Briand;BUS;CHAUSSEE;33119
B_VIL06_R;Villon;BUS;CHAUSSEE;33119
B_SCH06_A;Schweitzer;BUS;CHAUSSEE_ACCESS;33119
B_SCH06_R;Schweitzer;BUS;CHAUSSEE_ACCESS;33119
B_CAS05_R;Cassagne;BUS;CHAUSSEE;33119
B_VIC20_R;Victoire (Somme);BUS;CHAUSSEE;33063
B_PGA43_R;Prince de Galles;BUS;CHAUSSEE;33192
B_CAT23_R;Ste Catherine;BUS;CHAUSSEE;33063
B_STALI3;Stalingrad;BUS;VOIE_PROTEGEE;33063
B_P2V32_A;Place des 2 Villes;BUS;HS_INTEGRAL;33119
B_ANT43_R;Esplanade des Antilles;BUS;CHAUSSEE;33318
B_JPU51_R;Jardin Public;BUS;CHAUSSEE;33063
B_MFL08_R;Mairie de Floirac;BUS;CHAUSSEE;33167
B_ART41_R;Arts & Métiers;BUS;CHAUSSEE_ACCESS;33522
B_PLA08_A;Plateaux;BUS;CHAUSSEE_ACCESS;33167
B_PLA08_R;Plateaux;BUS;CHAUSSEE_ACCESS;33167
B_VIG64_A;La Vigne;BUS;CHAUSSEE;33013
B_GIC38_A;Centre de Formation du Lac;BUS;CHAUSSEE_ACCESS;33063
B_FON94_R;La Fontaine;BUS;CHAUSSEE;33096
B_JFE95_R;Jules Ferry;BUS;CHAUSSEE;33096
B_DEPHAI;Dépôt du Haillan;BUS;AUTRE;33200
B_GAMQUI;Gambetta;BUS;CHAUSSEE_ACCESS;33063
B_GRA43_R;Granet;BUS;CHAUSSEE;33192
B_VRT06_A;Verts Coteaux;BUS;CHAUSSEE;33167
B_CLO49_R;Chemin Long;BUS;CHAUSSEE;33281
B_BRU75_A;Clos des Bruyères;BUS;CHAUSSEE_ACCESS;33281
B_BOB41_R;Bobet;BUS;HS_INTEGRAL;33550
B_ROU49_R;Château Rouquey;BUS;HS_INTEGRAL;33281
B_ROU53_R;Lestage;BUS;CHAUSSEE_ACCESS;33449
B_BER52_R;Bernède;BUS;CHAUSSEE;33200
B_POI57_A;Poincaré;BUS;CHAUSSEE;33069
B_VER64_A;Verdot;BUS;CHAUSSEE;33013
B_RIG21_R;Rigaillou;BUS;CHAUSSEE;33550
B_SQP90_A;Square Prévert;BUS;CHAUSSEE;33032
B_TUR10_R;Turenne;BUS;CHAUSSEE;33063
B_CUR21_A;Curie;BUS;CHAUSSEE;33550
B_LIC46_A;Lou Licot;BUS;CHAUSSEE;33318
B_LAP81_R;La Paillère;BUS;CHAUSSEE_ACCESS;33318
B_INR21_R;INRA;BUS;CHAUSSEE;33550
B_PIC46_R;Picardie;BUS;CHAUSSEE;33318
B_CET71_A;Cerema;BUS;CHAUSSEE_ACCESS;33449
B_MAU12_R;Maurian;BUS;CHAUSSEE;33281
B_VI543_A;Village 5;BUS;VOIE_PROTEGEE;33192
B_MCO07_A;Maison de Convalescence;BUS;CHAUSSEE;33249
B_VIR16_A;Virginia;BUS;CHAUSSEE;33063
B_ERA07_R;Erables;BUS;CHAUSSEE;33065
B_COT07_A;Avenue du Coteau;BUS;CHAUSSEE;33065
B_MUR16_R;Murat;BUS;CHAUSSEE;33063
B_CHA53_A;Chateaubriand;BUS;CHAUSSEE;33449
B_PAST9_R;Pasteur;BUS;CHAUSSEE_ACCESS;33063
B_GAR91_R;Gare d'Orléans;BUS;VOIE_PROTEGEE;33063
B_RDP84_R;Rond-Point;BUS;CHAUSSEE;33318
B_IND80_A;Parc Industriel;BUS;HS_INTEGRAL;33318
B_4PO58_R;Les 4 Ponts;BUS;CHAUSSEE_ACCESS;33056
B_CLE54_R;Clemenceau;BUS;CHAUSSEE_ACCESS;33063
B_VER06_A;Versant;BUS;CHAUSSEE;33167
B_RCA43_R;Route de Canéjan;BUS;CHAUSSEE;33192
B_RMA58_A;Rue de Macau;BUS;CHAUSSEE;33312
B_MON05_R;Côte de Monrepos;BUS;CHAUSSEE;33167
B_LAF08_R;Laffargue;BUS;CHAUSSEE_ACCESS;33167
B_PUY53_R;Puyo;BUS;CHAUSSEE;33449
B_TIL20_R;Tillet;BUS;CHAUSSEE;33063
B_EVA83_A;Réservoir Lavardens;BUS;CHAUSSEE;33318
B_PBO07_A;Pont de Bouliac;BUS;CHAUSSEE_ACCESS;33065
B_SEG13_A;Seguineau;BUS;CHAUSSEE;33063
B_LIV48_A;Livran;BUS;CHAUSSEE;33063
B_ECU57_R;Rue des Ecus;BUS;CHAUSSEE;33069
B_LEY09_A;Leybardie;BUS;CHAUSSEE_ACCESS;33063
B_TUR52_A;Turenne;BUS;CHAUSSEE;33200
B_ESC82_A;Les Escarrets;BUS;CHAUSSEE;33449
B_DEL51_R;Gabriel Delaunay;BUS;CHAUSSEE;33063
B_SOO20_A;Soors;BUS;CHAUSSEE;33550
B_PLA06_A;Les Plateaux;BUS;CHAUSSEE;33167
B_DOM51_A;Domion;BUS;CHAUSSEE;33063
B_SEN03_A;Quai Numa Sensine;BUS;CHAUSSEE_ACCESS;33249
B_BRE48_A;Brémontier;BUS;CHAUSSEE;33281
B_AHL44_A;Clavé;BUS;CHAUSSEE;33318
B_COR06_A;Cornier;BUS;CHAUSSEE;33167
B_BER06_R;Béraldi;BUS;CHAUSSEE;33167
B_MAN13_R;Manège;BUS;CHAUSSEE_ACCESS;33063
B_CAR21_A;Les Iris;BUS;CHAUSSEE_ACCESS;33550
B_MOZ45_A;Mozart;BUS;HS_INTEGRAL;33318
B_MOR82_A;La Morandière;BUS;CHAUSSEE_ACCESS;33200
B_EGL58_A;Place de l'Eglise;BUS;CHAUSSEE;33312
B_FSO47_R;Alphonse Dupeux;BUS;CHAUSSEE;33063
B_LEN05_A;Collège L. Lenoir;BUS;CHAUSSEE;33063
B_EC982_A;Le Haillan Rostand;BUS;CHAUSSEE_ACCESS;33281
B_MER53_R;Mermoz;BUS;CHAUSSEE;33200
B_LES56_A;Glen Ellyn;BUS;CHAUSSEE_ACCESS;33069
B_MET73_R;Météo France;BUS;HS_INTEGRAL;33281
B_POU47_R;Le Poujeau;BUS;CHAUSSEE;33318
B_CHE16_R;Chevalier;BUS;CHAUSSEE;33063
B_TRO55_R;Terre Rouge;BUS;CHAUSSEE;33519
B_MIG41_A;Mignonne;BUS;HS_INTEGRAL;33192
B_FRA34_R;Franklin;BUS;CHAUSSEE;33522
B_LEB56_R;Léon Blum;BUS;CHAUSSEE;33069
B_PXO21_R;Peixotto;BUS;CHAUSSEE;33522
B_TIL52_R;Tilleuls;BUS;CHAUSSEE;33162
B_GOU82_R;Goujon;BUS;CHAUSSEE;33449
B_BHA92_R;Béchade;BUS;CHAUSSEE;33004
B_VCU8_R;Vieille Cure;BUS;CHAUSSEE;33119
B_PEG47_R;Charles Péguy;BUS;CHAUSSEE;33318
B_PTP92_R;Pont de Peyre;BUS;CHAUSSEE;33487
B_LEP12_A;Le Pont;BUS;CHAUSSEE;33281
B_FON55_R;Cantinolle;BUS;CHAUSSEE_ACCESS;33162
B_SHU46_A;St Hubert;BUS;CHAUSSEE_ACCESS;33318
B_TAB66_A;Abel Gance;BUS;CHAUSSEE;33249
B_GPH66_A;Gérard Philipe;BUS;CHAUSSEE;33249
B_VEL54_A;Emile Dreux;BUS;CHAUSSEE;33069
B_RON45_R;Ronsard;BUS;HS_SEMI_INTEGRE;33318
B_CIG63_R;Cigales;BUS;CHAUSSEE;33013
B_LEC10_A;Bibliothèque;BUS;CHAUSSEE;33063
B_MAL92_R;Malbrède;BUS;CHAUSSEE;33487
B_LUC43_R;Primevères;BUS;HS_SEMI_INTEGRE;33192
B_GAL50_R;Le Galus;BUS;CHAUSSEE;33281
B_LAC93_A;La Cabanne;BUS;CHAUSSEE;33003
B_MOZ45_R;Mozart;BUS;CHAUSSEE;33318
B_LAT05_A;La Tresne;BUS;CHAUSSEE_ACCESS;33063
B_EDI45_A;Edison;BUS;CHAUSSEE;33063
B_MAR07_R;Marronniers;BUS;CHAUSSEE;33065
B_VHU93_A;Victor Hugo;BUS;CHAUSSEE_ACCESS;33096
B_CAP11_R;Capelle;BUS;CHAUSSEE;33063
B_CAR55_R;Les Sources;BUS;CHAUSSEE_ACCESS;33162
B_PAU21_A;Pauge;BUS;CHAUSSEE;33550
B_MEU90_R;Meunier;BUS;CHAUSSEE;33032
B_JAC48_A;Jacquet;BUS;CHAUSSEE;33063
B_ECO08_R;Emile Combes;BUS;CHAUSSEE;33119
B_BOU32_R;Bourbon;BUS;CHAUSSEE;33167
B_LAK76_R;Lakanal;BUS;CHAUSSEE;33069
B_GOU50_A;Gouraud;BUS;CHAUSSEE;33281
B_BAZ75_R;Bazin;BUS;CHAUSSEE;33281
